"y_var","x_var","beta_w","t_w","DF_w","Pval_w","sig_w","beta_a","t_a","DF_a","Pval_a","sig_a"
"lifespan","shape_mort",NA,NA,NA,NA,NA,0.167790424172748,0.703533959196272,25,0.488224213021576,NA
"lifespan","shape_fecund",-0.455774329504816,-12.7743022938147,1011,9.45532999374194e-35,"sig",0.289788338046887,1.24203205259041,25,0.225750631051534,NA
"lifespan","total_offspring",0.73575131611348,31.4060823083923,1011,1.18914305693842e-151,"sig",0.465357074670082,2.09267754373213,25,0.0466889654685981,NA
"lifespan","area",-0.0928304619797844,-2.43087316550702,1021,0.0152337877767445,NA,-0.607064408937818,-2.895296158913,25,0.00775391148666197,NA
"shape_fecund","lifespan",-0.455774329505255,-12.7743022910956,1011,9.45533027822843e-35,"sig",0.0481307145600534,1.25536509840976,25,0.220953907482502,NA
"shape_fecund","shape_mort",NA,NA,NA,NA,NA,-0.0163640514814686,-0.415966806612012,25,0.680983481620722,NA
"shape_fecund","total_offspring",-0.0558258288049202,-1.16804655644573,1011,0.24306335889105,NA,-0.0806649686652226,-2.25899943770998,25,0.0328554229009425,NA
"shape_fecund","area",-0.113310645552289,-2.93116190977375,994,0.00345428824193614,"sig",-0.127412037551174,-4.15076308374853,25,0.000336103035929935,"sig"
"total_offspring","lifespan",0.735751316117751,31.4060823284203,1011,1.1891426779535e-151,"sig",0.498819653418574,2.08974035696592,25,0.0469743251744992,NA
"total_offspring","shape_mort",NA,NA,NA,NA,NA,0.454133995364113,1.87738798919122,25,0.0721809483544783,NA
"total_offspring","shape_fecund",-0.0558258288605742,-1.16804652755358,1011,0.243063370539238,NA,-0.526537105717921,-2.25542526860866,25,0.0331086827137893,NA
"total_offspring","area",0.0587092964740606,1.5048306062174,994,0.132685306275916,NA,0.512062454600856,2.1658677856095,25,0.0400606792741528,NA
"area","lifespan",-0.0928304619799722,-2.43087316506004,1021,0.0152337877954258,NA,-0.429188536435045,-2.89946817871626,25,0.00767746856862181,NA
"area","shape_mort",NA,NA,NA,NA,NA,0.0622994560716948,0.367675385486863,25,0.71620980861664,NA
"area","shape_fecund",-0.113310645547635,-2.93116191573342,994,0.00345428817624071,"sig",-0.544509487169195,-4.14960898821345,25,0.000337104839447647,"sig"
"area","total_offspring",0.058709296465798,1.50483060276968,994,0.132685307162449,NA,0.335958992157997,2.15914561063103,25,0.0406321291360142,NA
